1Agent_id,2fast turn number,3turning_speed,4hb_number,5acc_number,6Average over speed,7ov_duration,8speeding times,9time
540151,0,0.267840659,0,0,0,0,0,2968
523372,0,2.599780712,0,0,0,0,0,6213
540151,0,0.267840659,0,0,0,0,0,2968
523922,11,5.300362065,129,95,158.7633625,98260,4076,740895
525250,1,4.600946398,9,3,72.966238,7202,219,29549
525470,2,7.376005186,37,31,57.27482631,61115,1044,132552
526979,2,8.59423793,27,8,52.72080993,44203,1026,105657
527108,4,4.698859548,7,10,43.39556762,15123,426,64907
533069,18,6.369708426,36,18,52.77965162,75439,1496,201431
533279,0,5.077333021,0,0,1.290169945,884,50,4511
534892,5,5.607754657,77,23,87.65215899,45894,2219,194729
535123,0,5.395432353,13,12,28.20517561,32641,1005,252225
535141,1,3.710818388,4,1,16.12177734,15641,422,78257
549821,3,4.581501051,6,1,5.379461747,2307,61,7732
549988,0,2.176065343,0,0,0.570800517,38,3,1333
550275,0,5.282995438,82,16,59.4213692,30368,434,79464
520134,0,0.217222222,0,0,0,0,0,3703
520137,0,1.138085937,15,23,1.162749531,395,14,19431
538388,0,0.393098091,1,3,0.156026064,4,1,27771
532660,5,5.047433017,22,24,45.07306086,65889,678,145546
532718,15,7.290542825,147,64,401.1784164,100622,3272,324092
533046,4,4.974506803,1,5,8.163556749,25695,284,87874
533054,5,5.86666092,49,10,64.54009772,43294,860,107118
533067,4,4.655711015,7,3,33.68972924,54101,910,137464
533208,1,15.12714353,5,25,21.58144901,25037,63,84031
533503,3,5.195665261,4,5,31.19831487,25670,731,81295
534759,9,6.746112104,91,28,91.80331447,93728,1783,188220
534836,2,3.646132642,19,37,59.73299396,62157,1003,298289
534840,2,3.534782989,75,7,51.8896841,56202,1013,121845
534848,2,4.265836072,12,3,16.31668991,29132,354,61591
535110,0,4.331148951,29,10,31.75512436,54926,826,108277
535117,0,5.082853769,28,4,46.86963777,60798,1150,342155
535169,4,7.978517308,57,10,39.15645219,56878,781,99409
535399,1,3.752710108,20,4,37.51459836,71614,1033,220199
539162,9,7.98284176,59,9,82.18231427,91078,1445,147592
548741,3,4.837288205,9,4,39.34385029,38775,695,120858
549552,1,4.67471362,7,4,29.58643369,35724,568,98477
549945,4,3.498067691,4,6,10.3300033,21333,329,75975
549985,12,3.855739748,14,6,27.79415953,43272,450,105267
550988,3,3.262997857,0,0,6.709824757,12266,171,27508
550996,1,3.720814301,3,0,19.13559844,27263,343,90436
551008,4,3.080688966,13,6,23.61659515,28345,539,112789
551016,7,2.585276016,3,0,11.13246368,13302,209,66699
551049,0,4.849077107,6,10,9.853528353,9325,199,24842
552384,1,4.111700918,5,4,11.99119048,12453,291,37404
555148,0,2.641783297,0,1,1.636368579,1594,33,8887
532664,7,4.467989543,2,2,7.083022824,6410,89,21108
532698,2,4.372988809,37,11,33.07030317,31723,634,110391
533033,0,3.280295565,2,0,5.175937876,6351,136,38238
534260,1,1.940321335,11,4,15.36853958,27769,437,109587
534766,2,4.280987839,17,2,19.55840833,21820,350,61242
549574,2,3.993641534,8,13,22.05911331,18563,395,151117
549806,4,5.215084648,28,19,30.12511756,7829,295,107523
549973,2,5.162650526,13,14,38.59464894,31597,626,101544
551022,4,4.207512281,45,22,43.42493388,44660,883,154233
551023,0,4.386000954,20,7,12.98778832,20738,143,79028
552359,0,3.464230592,1,0,3.53772892,20704,199,33311
552370,2,5.053893278,27,14,51.93962981,17648,338,67957
553133,1,4.630292787,19,7,7.463865037,3286,82,14007
556181,2,1.91345167,0,1,0.422790182,386,18,3537
532667,11,5.630793735,16,4,21.63726173,15818,544,64639
532699,2,5.429489255,2,3,6.862789433,8285,166,23669
532992,5,5.356863516,1,0,3.20043625,3810,61,9050
533012,6,5.997680244,49,7,93.79526643,111808,2601,356520
533726,1,6.575170851,3,0,20.37383844,44836,540,89131
534301,4,3.49530144,24,10,35.5059394,39076,692,143315
534764,4,4.66881884,22,6,23.93890214,27695,759,89625
534777,8,7.48484042,0,0,1.175505968,746,33,2779
534779,2,4.701000715,17,25,38.64276681,21375,608,79464
534830,3,5.813765972,33,24,63.91562365,74379,818,147312
534834,8,6.164002982,52,12,55.76307687,46221,1243,119046
535085,3,7.274806764,28,15,36.45918852,51554,636,102049
535150,0,4.174223456,53,5,54.9099108,24049,1114,125086
538141,7,6.226662537,2,0,2.960807525,5320,97,13869
538144,5,4.840365351,1,0,4.191313758,5197,205,30173
549540,3,4.616449194,5,1,24.70329327,32672,557,73996
549541,5,4.570091061,5,1,12.10766505,12631,284,45585
